#run,N_iterations,max_it/run,elapsed_time,min_power_loss,VG1,VG2,VG3,VG6,VG8,Tap4-7,Tap4-9,Tap5-6,Qsh9
1,50,10,30.4955,12.8999,1.09003,1.072,1.04112,1.04917,1.09199,0.97735,0.98339,0.983126,14.609
2,50,10,28.2155,13.2003,1.09792,1.0717,1.06086,1.09334,1.00983,1.03741,1.04107,0.98486,8.74299
